epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,85.6239,1.66906,1.77463,1.70789,0.12555,0.31579,0.16005,0.06043,2.20136,7.20421,2.1399,0.000940625,0.000940625,0.000940625
17,90.8466,1.74583,1.83035,1.69241,0.16482,0.47368,0.24191,0.12416,1.94584,5.10264,2.05569,0.00092,0.00092,0.00092
18,96.0015,1.56937,1.68793,1.6042,0.52195,0.42105,0.40501,0.19581,1.97183,5.85038,2.18712,0.000899375,0.000899375,0.000899375
19,100.45,1.52744,1.643,1.55118,0.24432,0.36842,0.22729,0.09238,2.11755,4.3233,2.2268,0.00087875,0.00087875,0.00087875
20,105.968,1.59723,1.75184,1.59587,0.56595,0.34427,0.30797,0.14779,2.1163,3.75926,2.18159,0.000858125,0.000858125,0.000858125
21,111.642,1.59848,1.57727,1.64731,0.41881,0.47368,0.37145,0.16863,2.16801,4.76818,2.31785,0.0008375,0.0008375,0.0008375
22,115.965,1.43965,1.50056,1.52414,0.40629,0.31579,0.32209,0.11473,2.19467,4.15146,2.33964,0.000816875,0.000816875,0.000816875
23,121.917,1.48914,1.42969,1.50909,0.29009,0.68421,0.39908,0.16168,2.01536,3.33766,2.21896,0.00079625,0.00079625,0.00079625
24,126.575,1.54536,1.51059,1.56644,0.56741,0.52632,0.5417,0.3283,1.62959,2.39379,1.83366,0.000775625,0.000775625,0.000775625
25,131.33,1.4715,1.42906,1.54717,0.80744,0.57895,0.63188,0.39259,1.60325,2.04036,1.71583,0.000755,0.000755,0.000755
26,137.237,1.51524,1.55972,1.56242,0.61406,0.52632,0.58917,0.32506,1.78533,2.00962,1.82947,0.000734375,0.000734375,0.000734375
27,142.016,1.39207,1.3901,1.44259,0.64887,0.48699,0.5831,0.3503,1.68455,1.93799,1.74265,0.00071375,0.00071375,0.00071375
28,146.02,1.37102,1.38385,1.47515,0.71661,0.66612,0.54843,0.3011,1.58488,2.06179,1.63497,0.000693125,0.000693125,0.000693125
29,151.95,1.36719,1.32934,1.44118,0.66522,0.57895,0.55439,0.28497,1.61633,1.8686,1.55736,0.0006725,0.0006725,0.0006725
30,156.801,1.41178,1.34024,1.47715,0.65109,0.57895,0.59784,0.3188,1.53609,1.69413,1.58465,0.000651875,0.000651875,0.000651875
31,161.111,1.34103,1.30282,1.45193,0.6032,0.73684,0.61531,0.28408,1.6771,1.66987,1.736,0.00063125,0.00063125,0.00063125
32,166.555,1.34666,1.29345,1.43785,0.50669,0.73684,0.59748,0.30087,1.70219,1.6936,1.69344,0.000610625,0.000610625,0.000610625
33,170.724,1.32141,1.33153,1.41174,0.60466,0.68421,0.59688,0.31355,1.79778,1.84919,1.81134,0.00059,0.00059,0.00059
34,175.021,1.40667,1.31314,1.50208,0.64412,0.6674,0.57916,0.30501,1.87196,1.91211,1.78679,0.000569375,0.000569375,0.000569375
35,180.435,1.30331,1.18822,1.39006,0.77819,0.68421,0.66499,0.33669,1.7395,1.6156,1.73103,0.00054875,0.00054875,0.00054875
36,185.812,1.34512,1.26447,1.42549,0.79885,0.62736,0.67341,0.39596,1.56508,1.35491,1.5615,0.000528125,0.000528125,0.000528125
37,190.045,1.22926,1.19794,1.36696,0.7485,0.62683,0.63197,0.35035,1.63181,1.53015,1.66495,0.0005075,0.0005075,0.0005075
38,195.72,1.34831,1.20604,1.44167,0.84129,0.68421,0.70259,0.30375,1.86155,1.76893,1.80603,0.000486875,0.000486875,0.000486875
39,200.366,1.20623,1.19019,1.3557,0.79634,0.57895,0.60922,0.30617,1.98013,1.8441,1.83214,0.00046625,0.00046625,0.00046625
40,204.859,1.216,1.15835,1.34238,0.96492,0.52632,0.64227,0.2635,1.91427,1.71299,1.88802,0.000445625,0.000445625,0.000445625
41,210.694,1.14916,1.03345,1.25941,0.85039,0.57895,0.69409,0.32587,1.80302,1.63116,1.79764,0.000425,0.000425,0.000425
42,215.404,1.18586,1.06382,1.3214,0.65463,0.63158,0.6475,0.34326,1.65228,1.59368,1.65046,0.000404375,0.000404375,0.000404375
43,219.969,1.13216,1.0674,1.30779,0.82524,0.4982,0.63823,0.32727,1.66531,1.66632,1.65496,0.00038375,0.00038375,0.00038375
44,225.369,1.11879,1.02479,1.26766,0.72625,0.52632,0.59703,0.32534,1.61288,1.64808,1.65851,0.000363125,0.000363125,0.000363125
45,229.875,1.08983,1.00243,1.25042,0.846,0.57831,0.64215,0.37424,1.56042,1.52075,1.57143,0.0003425,0.0003425,0.0003425
46,234.3,1.09602,0.9615,1.27267,0.65795,0.68421,0.65852,0.39508,1.63978,1.36117,1.69788,0.000321875,0.000321875,0.000321875
47,239.632,1.11595,1.0165,1.29054,0.81013,0.57895,0.6701,0.3767,1.66914,1.45885,1.72319,0.00030125,0.00030125,0.00030125
48,244.262,1.05013,0.97914,1.23056,0.66098,0.78947,0.75961,0.39708,1.68102,1.22317,1.70273,0.000280625,0.000280625,0.000280625
49,248.871,1.04684,0.90741,1.2364,0.86112,0.68421,0.79213,0.37788,1.62346,1.22119,1.63389,0.00026,0.00026,0.00026
50,254.616,1.06254,0.92671,1.24612,0.71548,0.7943,0.7823,0.40968,1.58042,1.36396,1.63802,0.000239375,0.000239375,0.000239375
51,263.186,0.97758,0.79142,1.2708,0.62565,0.79177,0.74111,0.39177,1.57173,1.45213,1.66611,0.00021875,0.00021875,0.00021875
52,269.415,0.93042,0.72837,1.20721,0.713,0.57895,0.64071,0.34798,1.76548,1.7575,1.799,0.000198125,0.000198125,0.000198125
53,273.866,0.87711,0.67196,1.16966,0.78879,0.63158,0.71331,0.38061,1.71973,1.60288,1.74474,0.0001775,0.0001775,0.0001775
54,277.773,0.86366,0.66302,1.17942,0.80622,0.68421,0.70758,0.37223,1.64662,1.53444,1.7003,0.000156875,0.000156875,0.000156875
55,283.172,0.81389,0.62108,1.10222,0.86573,0.67905,0.74462,0.41183,1.60511,1.46137,1.66275,0.00013625,0.00013625,0.00013625
56,288.415,0.83318,0.63005,1.17497,0.81078,0.67695,0.74425,0.44424,1.51037,1.32698,1.58982,0.000115625,0.000115625,0.000115625
57,293.241,0.81157,0.60514,1.14537,0.80207,0.68421,0.75676,0.45177,1.53743,1.29171,1.59648,9.5e-05,9.5e-05,9.5e-05
58,299.042,0.79395,0.59602,1.14585,0.70992,0.78947,0.76426,0.44472,1.56497,1.2564,1.61158,7.4375e-05,7.4375e-05,7.4375e-05
59,303.6,0.78753,0.57987,1.1279,0.71358,0.78687,0.76112,0.46128,1.55852,1.23865,1.61259,5.375e-05,5.375e-05,5.375e-05
60,307.709,0.79353,0.57273,1.12043,0.72726,0.84207,0.78887,0.47295,1.5622,1.26668,1.61928,3.3125e-05,3.3125e-05,3.3125e-05
